Sesotho	English
setene, ditene	brick
setepese, ditepese	step (<Eng: steps)
seteraeka	strike (v.) (<Eng)
seteraeke, diseteraeke	strike (n.) (<Eng)
seterata, diseterata	street (<Afr: straat)
setereke, ditereke	district (<Afr: streek)
setereke, ditereke	region (<Afr: streek)
seterekeng	region (in the ...)
seterouku, diterouku	stroke
seterouku sa pelo	heart attack
stethoscope	stethoscope
sethadi	plotter
Sethai	Thai culture
Sethai	Thai language
sethakgilane, dithakgilane	bicycle
sethepu	polygamy
sethethefatsi	drug (n.)
sethethefatsi se lwantshang dikokwanahloko	antiviral drug
sethibela tshwaetso	antibiotic
sethibelo, dithibelo	barrier
setho, ditho	element
setho, ditho	member
Setho sa Lekgotla la Phethahatso	Member of Executive Committee (MEC)
setho sa lenaneho	list item
setho sa palamente	member of parliament
sethoba	space
sethole, dithole	female animal
sethole, dithole	hen
sethothokisi, dithothokisi	poet
sethoto, dithoto	fool
sethoto, dithoto	ignorant person
sethoto, dithoto	stupid person
sethotsela, dithotsela	ghost
sethotsela, dithotsela	phantom
sethunya, dithunya	fire arm
sethunya, dithunya	gun
sethunya, dithunya	rifle
sethuthuthu, dithuthuthu	motorcycle
sethwathwa, dithwathwa	epilepsy
setifi	stiffy disk (SA English)
setimamollo	fire brigade
seting, diseting	setting
Setjhaba (lebitso)	Nation (male name)
setjhaba, ditjhaba	nation
setjhaba, ditjhaba	people
setjhaba, ditjhaba	race (n.) (people)
setjhaba, ditjhaba	tribe
Setjhaena	Chinese culture
Setjhaena	Chinese language
Setjhakana	Shangaan culture
Setjhakana	Shangaan language
Setjhona	Shona culture
Setjhona	Shona language
setjhu, ditjhu	stew
setlamisi, ditlamisi	bandage
setlamisi sa samente	plaster cast
setlapedi, ditlapedi	ringworm
setlhare	drug (n.) (medication)
setloholo, ditloholo	grandchild
setloholwana, ditloholwana	great grandchild
setlokotsebe, ditlokotsebe	hooligan
setlolo, ditlolo	lubricant
setlolo sa molomo	lipstick
setlolo sa moriana	ointment
setofo, ditofo	stove (<Afr: stoof)
setopo, ditopo	corpse
setopo, disetopo	stop (n.) (<Eng)
setopo sa dibese	bus stop
setopo sa tekisi	taxi stop
setse	remained (v.)
setse	stayed (v.)
setsetse	African wild cat [Felis lybica]
setsetse	bush cat [Felis lybica]
setsha, ditsha	site
setsha sa ho haha	building site
setsha sa ho kampa	camping site
setshehetso, ditshehetso	rail
setsheho, ditsheho	laugh
setsheho, ditsheho	laughter
setshwantsho, ditshwantsho	drawing (n.)
setshwantsho, ditshwantsho	figure
setshwantsho, ditshwantsho	illustration
setshwantsho, ditshwantsho	image (n.)
setshwantsho, ditshwantsho	photograph
setshwantsho, ditshwantsho	picture (n.)
setshwantsho se takiweng, ditshwantsho tse takiweng	painting
setshwara, ditshwara	holder
setshwara pampiri ya ntlwana	toilet roll holder
setshwaro, ditshwaro	handle (n.)
setsi, ditsi	centre
setsing, ditsing	centre (place)
setsing, ditsing	depot
setsing sa mabenkele	mall
setsing sa mabenkele	shopping centre
setsing sa motse	city centre
setso, ditso	culture
setso, ditso, [2	origin
setsokotsane, ditsokotsane	hurricane
setsomi, ditsomi	hunter
Setsonga	Tsonga culture
Setsonga	Tsonga language (Xitsonga)
setsosa, ditsosa	alarm
setswalle, ditswalle	friendship
Setswana	Tswana culture
Setswana	Tswana language
setswe, ditswe	elbow
setulo, ditulo	chair (<Afr: stoel)
setulo, ditulo	seat (<Afr: stoel)
setulo, ditulo	stool (<Eng/Afr: stoel)
setulo sa mokganni	driver's seat
setulo sa mopalami	passenger seat
setulo sa ngaka ya meno	dentist chair
setulo sa ntlwana	toilet seat
setumo	renown
Seturkishi	Turkish culture
Seturkishi	Turkish language
setwalle, ditswalle	friendship
Seukrain	Ukrainian culture
Seukrain	Ukrainian language
Seurdu	Urdu culture
Seurdu	Urdu language
seuta	affairs not discussed at the proper time
seuta	bad smell of spoilt milk
seuta	old meat
seuta	vain prediction
Sevenda	Venda culture
Sevenda	Venda language (Tshivenda)
seviete, diseviete	serviette (<Eng)
Sevietnam	Vietnamese culture
Sevietnam	Vietnamese language
sewa, diwa	epidemic
sewa, diwa	plague
Sewedishi	Swedish culture
Sewedishi	Swedish language
sewelo, diwelo	accident
sewelo, diwelo	exception
sewelo, diwelo	opporunity
sewitjhi, disewitjhi	switch
sewitjhi e kgolo	main switch
seyalemoya, diyalemoya	broadcaster
seyalemoya, diyalemoya	radio
seyalemoya sa koloi	car radio
seyantle, diyantle	export
Sezulu	Zulu culture
Sezulu	Zulu language (isiZulu)
shaka, dishaka	shark (<Eng)
shampu, dishampu	shampoo (<Eng)
shapa	hit (v.)
shawara	shower (v.)
shawara, dishawara	shower (n.)
sheba	look (v.)
sheba	look at (v.)
sheba	watch (v.)
shebana	look at each other (v.)
Hlahlobisisa kgkahanyo ya hao mme o leke hape hamorao	check your connection and try again later
shebisi, dishebisi	browser
shelefo, dishelefo	shelf (<Eng)
shemola	chip (v.)
shere, dishere	share (n.) (<Eng)
shobedisa	kidnap a girl (v.)
shobela	elope (v.)
shofolo	shovel (<Eng)
shohlano	fifteen
shonne	fourteen
shonngwe	eleven
shopedi	twelve
shorobedi	eighteen
shorobong	nineteen
shosupa	seventeen
shotharo	thirteen
shotshelela	sixteen
shwa	die
shwalane	dusk
shweleng	dead
shwesa	cause to die (v.)
Shweshwe (lebitso)	Flower from the tsikitlane plant Hypoxis argentea  (female name)
sibolla	discover (v.)
sidila	iron (v.)
sika	take or carry a child (v.)
sikara, diskara	cigar (<Eng)
sikara	carry on lap (v.)
sikarete, disikarete	cigarette (<Eng)
sila	grind (v.)
silafala	become dirty (v.)
silafatsa	mess (v.)
silafatsa	polute (v.)
silela	grind for (v.)
Silifera	Silver (Ag) [Element]
Silikone	Silicon (Si) [Element]
siling, disiling	ceiling
silintara, disilintara	cylinder
silo, disilo	silo (<Eng/Afr)
simbale, disimbale	cymbal
simbolo, disimbolo,; letshwao	symbol (<Eng/Afr: simbool)
simolla	begin (v.)
simpheke, disimpheke	sim pack
simposiamo, disimposiamo	symposium (<Eng)
sinki, disinki	kitchen sink
sira	overshadow (v.)
sireletsa	defend (v.)
sireletsa	protect (v.)
sireletsang	defensive
sirilamunu, disirilamunu	lemon (<Afr: suurlemoen)
siriti sa botho 	human dignity 
Sirkoniamo	Zirconium (Zr) [Element]
sisa	sigh (v.)
sisetene, disisetene	cistern
sisinya	shake (v.)
sisinyeha	move (v.)
sisinyeha	quake (v.)
sisinyehang	moving
sita	be impossible (v.)
sitelwa	offend (v.)
sitwa	unable
sitwa ho bula tokomane	cannot open document
sitwa ho simolla tokomane	cannot create document
siya	leave behind (v.)
Skandiamo	Scandium (Sc) [Element]
skript, diskript	script (<Eng)
skript se ka hodimo	superscript
skriptnyana	subscript
SMS, di-SMS	SMS
Sodiamo	Sodium (Na) [Element]
sodiamo haedroksaete	sodium hydroxide (<Eng)
sofa, disofa	sofa (<Eng)
Sofonia	Zephaniah (Biblical Name)
sohle	all (quantitative pronoun)
soka	row (v.)
soka	stir (v.)
sokolla	convert (v.)
sokoloha	repent (v.)
sola	shed hair
sola	shed skin
soledara	solder (v.)
soledare, disoledare	solder (n.)
soliti, disoliti	solid (n.) (<Eng)
solo, disolo	sole (<Eng/Afr: sool)
solotsi, disolotsi	butternut squash
soma	mock (v.)
soma	ridicule (v.)
sona	it (absolute pronoun) 
sona	possessive pronoun
sonobolomo, disonobolomo	sunflower (<Afr: sonneblom)
sonoborele, disonoborele	sunglasses (<Afr: sonbril)
Sontaha	Sunday
sophoro, disophoro	supper (<Eng)
sopo, disopo	soup (<Afr: sop)
soprano, disoprano	soprano (<Eng)
soro	brutal
soseje, disoseje	sausage (<Eng)
sosobana	crease (v.)
sosobanya	wrinkle (v.)
Sosolo	Sasolburg
sotha	wring (v.)
sousu, disousu	sauce (<Afr: sous)
SQL	SQL
stifidiski	stiffy disk (SA English)
Strontiamo	Strontium (Sr) [Element]
subuhlellana	overcrowd (v.)
suha	tan (v.)
suna	kiss (v.) (<Afr: soen)
sunya	insert (v.)
sunya	plant (v.)
sunya	push in (v.)
supa	indicate (v.)
supa	point (v.)
supa	point at
supa	seven
supa mmala	highlight color
suphamakethe, disuphamakethe	supermarket
susumetsa	force (v.)
susumetsa	inspire (v.)
susumetsa	push (v.)
susutlella	dictate (v.)
sutha	move (v.)
suthisa	remove (v.)
suthisetsa morao	postpone (v.)
sutu, disutu	suit (<Eng)
sutukheisi, disutukheisi	suitcase (<Eng)
sututsa	push (v.)
swaba	feel sorry
swabile	be sorry
swaswa	joke (v.)
Swatsing	Swaziland
swetsa	disappoint (v.)
sweufatsa	bleach
taba, ditaba	case
taba, ditaba	issue
Taba di mahlong (maele)	The face is the index of the mind (proverb)
mookotaba, dimookotaba	theme
tabola	tear (v.)
tadi, ditadi	fieldmouse
tadima	consider (v.)
tadima	look at (v.)
tadima	view (v.)
tadimana	look at each other (v.)
tadimeha	look good (v.)
tae, ditae	tie (<Eng)
taelo, ditaelo	command (n.)
taelo, ditaelo	instruction
taelo, ditaelo	order (n.)
taelo ya lekgotla	decree
taelo ya meriana	prescription [for medicine]
taemane, ditaemane	diamond (<Eng)
taeodi, ditaeodi	diode (<Eng)
tafole, ditafole	table (<Afr:tafel)
tafole e nang le seipone	dressing table
theibole e nang le ditheibole tse ding ka hare	nested table
tafole ya ho buhela	operation table
tafole ya ho sebeletsa	workbench
tafole ya periodiki, ditafole tsa periodiki	periodic table
tafole ya titjhere	teacher's desk
taha	intoxicate (v.)
tahang	alcoholic
tahi	alcohol
tahi	liquor
tahilwe	drunk (v.)
tahlehelo	loss
taka	underline (v.)
takatso, ditakatso	desire
takatso, ditakatso	wish
takatso ya dijo	appetite
tala ya lehodimo ya mantlha	primary blue
tala ya mantlha	primary green
talente, ditalente	talent (<Eng/Afr: talent)
Talliamo	Thallium (Tl) [Element]
tallo	ambush (n.)
tamati, ditamati	tomato
tamolohang	elastic
tamukanya	mutilate
Tangstene	Tungsten (W) [Element]
tanka, ditanka	tank (<Eng)
tanki	thanks (n.)
tankisa	thank (v.)
Tantalamo	Tantalum (Ta) [Element]
tantsha	dance (v.)
Tanzania	Tanzania
tao	nowhere
demokerasi	democracy
taolo (pl. ditaolo)	control
taolo ya sephethephethe ya baithuti	scholar patrol
taolo ya tshireletso	security control
tapa	dance at a wedding (v.)
tapeite, ditapeite	carpet
tapole, ditapole	potato (<Afr: aartappel)
tarasi	transsexual
tarasi	transvestite
tasetare, ditasetare	duster
tasetare ya masiba	feather duster
tata	hurry (v.)
tataisa	guide (v.)
tataiso ya telefono	telephone directory
tatelano	chronological
tatelano	sequence
tatelano ya aremetiki; tatelano ya dipalo	arithmetic sequence
tatolo	denial
tatso, ditatso	flavour
Tau (lebitso)	Lion (male name)
tau, ditau	lion [panthera leo]
tau ya lewatle	Cape fur seal [Arctocephalus pusillus pusillus]
tau ya metsi	Cape fur seal [Arctocephalus pusillus pusillus]
tauhadi, ditauhadi	lioness
taumoholo, botaumoholo	old lion
tawana, ditawana	lion cub
teana	meet (v.)
teatere, diteatere	theatre (<Afr)
teba	become deep (v.)
teba	sink (v.)
Tebatso (lebitso)	Distraction / Make forget (female name)
tebela	dismiss (v.)
tebela	sack (v.)
tebeleha	hit with the fist (v.)
Tebello (lebitso)	Expectation ( Vigil or Wake = Tebelo ) (male name)
Tebello (lebitso)	Expectation (female name)
tebello, ditebello	expectation
tebelo, ditebelo	dismissal
tebile	deep
tebileng	deep
tebiso, ditebiso	citation
tebiso, ditebiso	reference
Teboho (lebitso)	Gratitude (male name)
teboho, diteboho	gratitude
tedu, ditedu	beard
tee, ditee	tea (<Afr: tee)
tefello, ditefello	tariff
tefelo, ditefelo	price
tefiso, ditefiso	fine
Tefo (lebitso)	Payment/reward (male name)
tefo, ditefo	payment
tefo ya ho kena hekeng	entrance fee
tefo ya tekesi	taxi fare
tege, ditege	dough (<Afr: deeg)
tegeniki, ditegeniki	technique (<Afr: tegniek)
tegeniki	technical
seteisele, diseteisele	starch (<Afr: stysel)
teka	lay a table (v.) (<Afr: dek)
tekanelo, ditekanelo	standard
tekanyetso, ditekanyetso	assessment 
tekanyetso e ahang moithuti 	formative assessment 
tekanyetso e e tswang ke baithutimmoho 	peer assessment 
tekanyetso e etswang qetellong 	summative assessment 
tekanyetso e itshetlehileng ditekong 	test-based assessment 
tekanyetso e itshetlehileng mesebetsing 	task-based assessment 
tekanyetso e itshetlehileng temohong 	observation-based assessment 
tekanyetso e ribollang ditshita tsa ho ithuta 	diagnostic assessment 
Tekanyetso e Tswellang (TT) 	Continuous Assessment (CASS) 
tekanyetso ya boitekolo 	self-assessment 
tekanyetso ya dihlotshwana 	group assessment 
tekanyetso ya lebelo	speed limit
tekanyetso ya motheo 	baseline assessment 
tekanyi, ditekanyi	tape measure
tekanyo 	scope 
tekanyo, ditekanyo	measure
tekanyo e lekanang	balanced equation
tekanyo ya sehlare	dose
teke, diteke	deck (<Eng)
tekela	lay a table for (v.)
tekesi e lekanyeditsweng	metered taxi
tekete, ditekete	ticket (<Eng)
tekete ya bese	bus ticket
tekete ya ho paka	parking ticket
tekete ya sefofane	airline ticket
tekisi, ditekisi	taxi
Teknetiamo	Technetium (Tc) [Element]
teko, diteko	test (n.)
teko, diteko	attempt
teko, diteko	trial
teko, diteko	experiment
tekolo, ditekolo	check-up
tela	renounce (v.)
thelevishene, dithelevishene	television (<Eng)
telefono, ditelefono	telephone (<Eng)
telekeramo, ditelekeramo	telegram (<Eng)
teleko	exile
teleskoupo, diteleskoupo	telescope (<Eng)
teletekese, diteletekese	teletext (<Eng)
televishene, ditelevishene	television (<Eng)
tellang	insubordinate
tellehang	undignified
Telluriamo	Tellurium (Te) [Element]
tema, ditema	text 
tema, ditema	ploughed land
temana, ditemana	paragraph
temana, ditemana	text
temetwane, ditemetwane	tonsil
temo, ditemo	agriculture
temoso, ditemoso	signal
temoso, ditemoso	warning
temothuto, ditemothuto	agricultural studies
tempa	stamp (v.)
tempele, ditempele	temple (<Eng)
tena	annoy (v.)
tena	bore (v.)
tena	put on socks or gloves (v.)
tenang	annoying
tenehile	irritated
tenese, ditenese	tennis (<Eng)
teng	here
teng	then
tenshene, ditenshene	tension
tente, ditente	tent (<Eng)
tenya	thick
teotsa ya pensele	pencil sharpener
tepeletsa	depress
tepeletso	depression
mothinya, dimothinya	turn (n.) (<Afr: draai)
teraeka	strike (v.) (<Eng)
teraka, diteraka	truck
terama, diterama	drama 
terapa, diterapa,; ditepisi	stairs (<Afr: trappe)
terata, diterata	fence (<Afr: draad)
terata, diterata	wire (<Afr: draad)
terata e metsu	barbed wire
Terbiamo	Terbium (Tb) [Element]
terei, diterei	tray (<Eng)
tereka	iron (v.)
terekela	iron for (v.)
terekere, diterekere	tractor (<Eng)
terekesutu, diterekesutu	tracksuit (<Eng)
terene, diterene	train (<Eng)
terene e lebelo	express train
terene ya baeti	commuter train
terene ya disele	diesel train
terene ya mashala	steam train
terene ya motlakase	electric train
terete, diterete	tart (<Eng/Afr: tert)
terikonometri	trigonometry
teripi, diteripi	drip (n.)
teroli, diteroli	trolley (<Eng)
terompeta, diterompeta	trumpet
teronko, diteronko	prison (<Afr: tronk)
tesimale, ditesimale	decimal (<Eng)
teteaneng	dense
teteano ya optikhale	optical density
teteanya	thicken (v.)
tetebela	sink (v.)
tetema	tremble (v.)
tetema, ditetema	flame (great ...)
tetetsa	bruise (v.)
tetrahaeterone, tetrahaeterone	tetrahedron
teu, diteu	rope (<Afr: tou)
thaabe, dithaabe	hiccough (n.)
Thaba (lebitso)	Mountain (male name)
thaba, dithaba	mountain
thaba	rejoice (v.)
Thaba Ntsho	Harrismith
thabana, dithabana	hill (lit. small mountain)
Thabang (lebitso)	Be happy (male name)
thabela	enjoy (v.)
thabile	glad
thabile	happy
thabisa	amuse
thabisa	entertain
Thabiso (lebitso)	Joy-bringer (male name)
Thabo (lebitso)	Happiness (male name)
thabo	joy
thabo	pleasure
thabo e kaalo	such joy
Thabong	Welkom
thae, dithae	tie (n.) (<Eng)
thaele, dithaele	tile (n.) (<Eng)
thaele ya ho rulela	roof tile
thaepefeisi, dithaepefeisi	typeface (<Eng)
thaere, dithaere	tyre (<Eng)
thaere e tabohileng	burst tyre
thaete, dithaete	tide (<Eng)
thaethe, dithaethe	tights
thaetlele, dithaetlele	title (<Eng)
thaha, dithaha	finch
thaha, dithaha	sparrow
thahameso, dithahameso	early breakfast
thahasella	show interest (v.)
thahasella	be enthusiastic (v.)
thahasellang	keen
thahasello	enthusiasm
thaho, dithaho	kick (n.)
thaka, dithaka	peer
thaka ya leihlo, dithaka tsa maihlo	iris
thakesito, dithakesito	tuxedo (<Eng)
thakgalatsa; otlolla	strecth out (v.)
thakgisa, dithakgisa	peg (n.)
thakgisa	pin down (v.)
thakgisa sefapanong	crucify (v.)
thalela	underline
thamahane, dithamahane	brown hyena [Hyaena brunnea]
thanjente, dithanjente	tangent (<Eng)
thanya	feel (v.)
thaole, dithaole	towel
thapa	tame (become ...) (v.)
thapallo, dithapallo	contour
thapallo, dithapallo	parallel
thapama, dithapama	afternoon
thapedi, dithapedi	plea (n.)
Thapeli (lebitso)	Appeal (male name)
Thapelo (lebitso)	Prayer / Plea (male name)
thapelo, dithapelo	prayer
thapile	be tame (v.)
thapileng	tame
thapisa	tame (v.)
thapiso	discipline (n.)
thapo, dithapo	plait
thapo, dithapo	rope
thapollo, dithapollo	exercise (n.)
tharo	three
tharollo	resolution
tharollo ya mmala	colour resolution
thasisetsa	repeat (v.)
thata	difficult
thata	hard
thata	solid
thata	tough
Thato (lebitso)	Will (female name)
Thato (lebitso)	Will (male name)
thato, dithato	liking
thato, dithato	will
thea	erect (v.)
thea	form (v.)
Thebe (lebitso)	Shield (male name)
thebe, dithebe	shield
theha	found (v.)
theipi, ditheipi	tape (<Eng)
thekenoloji, dithekenoloji	technology (<Eng)
thekesela	stagger (v.)
thekisetsano, dithekisetsano	transcation
thekiso, dithekiso	sale
thekiso ya jarete	yard sale
theko, ditheko	price
thekoise	turquoise (<Eng)
Thekong	Durban
thelara, dithelara	teller
thele, dithele	udder
theledi	kneecap
thella	slide (v.)
thella	slip (v.)
thellang	slippery
thema	speak fluent English (v.)
theme, ditheme	term
theminale, ditheminale	terminal (<Eng)
themometara, dithemometara	thermometer
themperetjhara	temperature
themperetjhara ya mmele	body temperature
thempone, dithempone	tampon (<Eng)
thene, dithene	otter
theo, ditheo	principle
theoha	descend
theoha mmeleng	lose weight (v.)
theohela	descend
theoho	descent
theola	take down (v.)
theolela	discount (v.)
theolelo, ditheolelo	discount (n.)
theolisa	download
theoreme, ditheoreme	theorem (<Eng)
theoreme ya Phaetakorase	Theorem of Pythagoras
theosa	descend (a hill)
thepa, dithepa	furniture
thepa, dithepa	property
thepa, dithepa	stock
thepa ya ntlo	furniture (of a house)
thepe, dithepe	tap (<Eng)
theransebesale, ditheransebesale	transversal (<Eng)
therisano, ditherisano	communication
thesela	bump (v.)
thesorase, dithesorase	thesaurus 
thete	excrement
thete	faeces
theteha	roll (v.)
thetha	flirt (v.)
sethethefatsi, disethethefatsi	drug
thetsa	deceive (v.)
thetso, dithetso	deceit
thetso, dithetso	fraud
thiane, dithiane	steenbok [Raphicerus campes]
thiba	prevent (v.)
thiba	seal (a leak) (v.)
thiba	shutdown (computer)
thiba	stop something (v.)
thibela	block (v.)
thibela	prohibit (v.)
thibelo	prevention
thibelo ya pelehi	contraception
thibetse, dithibetse	banned person/thing
thietha, dithietha	theatre (<Eng)
thikgwi, dithikgwi	aardwolf
thine, dithine	tin (<Eng)
Thini	Tin (Sn) [Element]
thinya	turn (v.)
thipa, dithipa	knife
thipa ya ho qapolla	scalpel
thoane, dithoane	caracal [Felis caracal]
thobalano	sex (n.)
thobalano	sexual intercourse
thobeho, dithobeho	fracture
thoko, dithoko	praise poem
thoko	aside
thola	quiet (become ...) (v.)
thollo, dithollo	grain
tholo, ditholo	kudu [Tragelaphus strepsiceros]
tholwana, ditholwana	fruit
thomello dikerafike ho tswa ka ntle	importing graphics
thomello ya tokomane ka kwano	importing document
thomello ya tokomane ka ntle	exporting document
thomo, dithomo	piano
thonya	pick (v.)
thoriso, dithoriso	praise (n.)
thota, dithota	plateau
thotha	transport (v.)
thotho	transport (n.)
thothokisa	praise (v.)
thothokisa	recite (v.)
thothokiso, dithothokiso	poem
thothokiso, dithothokiso	poetry
thothomantle, dithothomantle	sewerage
thothomela	quiver (v.)
thothomela	shiver (v.)
thothomela	tremble (v.)
thoto	property
thoto ya sefetodi se shebetswengpele	advanced property editor
thotobolo, dithotobolo	ash heap
thotse	is quiet (v.)
thotse	still (adj.)
thotseng	quiet
thuana, dithuana,; pitsana	bedpan
thuha	burgle (v.)
thuhlo, dithuhlo	giraffe [Giraffa camelopardalis]
Thulama	Tweespruit
thulana	collide (v.)
thulano, dithulano	collission
thulosi, dithulosi	tool
thumisehileng	fine
thunya	fire a gun (v.)
thunya	fuse
thunya	shoot (v.)
thunya	shoot up (of plant) (v.)
thunyo, dithunyo	shot (n.)
thupa, dithupa	stick (n.)
thupello, dithupello	seminar
thupelo, dithupelo	instruction
thusa	aid (v.)
thusa	assist (v.)
thusa	help (v.)
thusang	helpful
thusapuo, dithusapuo	speech organ
Thuso (lebitso)	Help (male name)
thuso, dithuso	assistance (n.)
thuso, dithuso	help (n.)
thuso, dithuso	redemption (n.)
thuso ya pele	first aid
thutahlaho	physics
thuta-masupi	archeology
thuta-tlhaho	nature study
thutatshupatlotlo	accounting
thuthuha	become independent (v.)
thutiso	quiz
Thuto (lebitso)	Lesson (female name)
Thuto (lebitso)	Lesson (male name)
thuto, dithuto	education
thuto, dithuto	learning area
thuto, dithuto	lecture
thuto, dithuto	lesson
thuto, dithuto	subject
Thuto e Theilweng Diphethong (TTD) 	Outcomes-Based Education (OBE) 
Thuto le Thupello e Akaretsang (TTA) 	General Education and Training (GET) 
Thuto le Thupello e Tswellang (TTT) 	Further Education and Training (FET) 
Thuto tsa Mahlale, Dipalo, Khomputara, Tsa Bophelo le Tsa Temo 	Physical, Mathematical, Computer, Life and Agricultural Sciences 
thuto ya botsebanyane	science
thuto ya dinaledi	astronomy
thuto ya dithaka	peer education
thuto ya lefatshe	geography
thuto ya meetlo le setso	anthropology
Thuto ya phedisano	Social Sciences
thuto ya puo	grammar
Thuto ya tsa moruo	Economics
thutswana, dithutswana	match (n.)
thutswana ya sehlotsa, dithutswana tsa sehlotsa	crutch
tidima, ditidima	specialist
setsebi sa mafu a bana	paediatrician
setsebi sa boko	neurologist
ngaka ya dikahare	specialist physician
ngaka e etsang dioporeishene	surgeon
ngaka a bolayang kutlo mmeleng	anaesthetist
ngaka ya mahlo	optometrist
ngaka ya masapo	orthopaedic
ngaka ya ditho tsa moroto	urologist
setsebi sa mafu a kelello	psychiatrist
setsebi sa mafu a basadi	gynaecologist
setsebi se sebedisang mahlasedi a x-ray	radiologist
setsebi sa mafu	pathologist
ngaka ya ditsebe, mahlo le qoqotho	ear-, nose- and throat specialist
tieho, ditieho	delay
tiileng	firm
tiileng	stable
tiileng	tight
tiisa	certify (v.)
tiisa	enforcce (v.)
tiisa	stress (v.)
tiisetsa	ensure (v.)
tiisetsang	courageous
Tiisetso (lebitso)	Perseverance (female name)
Tiisetso (lebitso)	Perseverance (male name)
tiisetso	courage
tiisetso	perseverance
tiiso, ditiiso	emphasis
tiiso, ditiiso	sincerity
tiiso, ditiiso	stress (n.)
tikatiko, ditikatiko	doubt (n.)
tikishinare, ditikishinare	dictionary (<Eng)
tikoloho, ditikoloho	background
tikoloho, ditikoloho	environment
tikoloho ya nako ya ho mathiswa ya Java	Java runtime environment (JRE)
tima	extinguish
tima	pinch (v.)
tima	put out a fire (v.)
tima	turn off a car (v.)
timela	perish (v.)
timetsa	cancel
Timotia	Timothy (Biblical Name)
tinare, ditinare	dinner (<Eng)
tipa	dip (v.)
Titaniamo	Titanium (Ti) [Element]
titiela	put on lots of clothes (v.)
titima	run (v.) (<Zul)
titjhere, dititjhere	teacher (<Eng.)
tjabelo, ditjabelo	slap (n.)
tsosolosa	recharge (v.)
tjale, ditjale	shawl (<Afr: tjalie)
tjamela	stare (v.)
tjamelo, ditjamelo	stare (n.)
tjeka	dance (v.)
tjekana	dancing together (v.)
tjena	thus
tjha	burn (v.)
tjhaba	rise (sun) (v.)
tjhabo ya letsatsi	sunrise
tjhadimeho	appearance
tjhadimo, ditjhadimo	view (n.)
Tjhaena	China
tjhafo, ditjhafo	shaft (<Eng)
tjhaka	visit (v.)
tjhakela	visit at (v.)
tjhalaka	dart about (v.)
tjhankana, ditjhankana	prison
tjhao, ditjhao	good harvest
tjhate, ditjhate	chart
tjhate e supang tatellano ya diketsahalo 	flowchart
tjhate ya mokudi	patient's chart
tjhatene, ditjhatene	chutney
tjhatje, ditjhatje	charge (n.) (<Eng)
tjhatje ya nekethifi	negative charge
tjhatje ya posethifi	positive charge
tjhatjhametsa	run swiftly
tjhe	no
tjhefo, ditjhefo	poison (n.)
tjheha	set (v.)
tjheka	dig (v.)
tjheke, ditjheke	cheque
tjhekolla	unearth (v.)
tjhele	burned (v.)
tjhelete, ditjhelete	cash (<Afr: geld)
tjhelete, ditjhelete	money (<Afr: geld)
tjhelete e bolokilweng	savings
tjhelete ya pampiri, ditjhelete tsa pampiri	bank note
tjhelo, ditjhelo	cello
tjhemene, ditjhemene	chimney (<Eng)
tjhentjhana	alternate
tjhentjhe, ditjhentjhe	change (<Eng)
tjhesa	burn (i.e. writing data on CD)
tjhesa	burn (v.)
tjhesa	hot
tjhesang	warm
kase, dikase	cheese (<Eng)
tjhesehelang	enthusiastic
tjheseho	eagerness
tjheseho	enthusiasm
tjheseho	interest
tjheseho	zeal
tjhesele, ditjhesele	chisel (<Eng)
tjhesetso	arson
tjheswa	burned (be.) (v.)
tjhilise, ditjhilise	chilli
tjhipise, ditjhipise	potato chips (<Eng: chips)
hloka lenaka	hornless
tjhiri, ditjhiri	zip
tjhitjha	round
tjho	say (v.)
tjhoko, ditjhoko	chalk (<Eng)
tjhokolete, ditjhokolete	chocolate (<Eng)
tjhopose, ditjhopose	chop
tjhora	sharp (be ...) (v.)
tjhorisa	adapt (v.)
tjhorisa	sharpen (v.)
tjhupu, ditjhupu	tube (<Eng)
tjhutjhumakgala, ditjhutjhumakgala	train
tjhutjhusela	make the sound of a train (v.)
tjhwatjhwasela	itch (v.)
tjhwehletjhwehle, ditjhwehletjhwehle	rattle (n.)
tjhwehletsa	rattle (v.)
tjhwesa	simulate death (v.)
tjotjo, ditjotjo	bribe (n.)
tla	come
tlaase	under
tlabola	scorch (v.)
Tlaila le tlailela morena (maele)	Do not be afraid to make mistakes so that they may be corrected (proverb)
tlakasela	shudder
tlala	dancing and conducting praise songs (v.)
tlala	dancing hapily (v.)
tlala	famine
tlala	hunger
tlaleha	report (v.)
tlaleho	report (n.)
Tlali (lebitso)	Fulfilled (male name)
tlama	attach
tlama	bind (v.)
tlama	tie (v.)
tlama terata	wire (v.)
tlamehile	must
tlami, ditlami	hyphen
tlamo, ditlamo	bond
tlamo, ditlamo	obligation
tlanya	type (v.)
tlasa	below
tlasa	under
tlasa	underneath
tlatlapa	abuse (v.)
tlatlapo, ditlatlapo	abuse (n.)
tlatsa	fill (v.)
tlatseletsa indekse	updating index
tlekelele	stop (ideophone)
tlelaemete, ditlelaemete	climate (<Eng)
tlelafo ya raba	latex glove
tlelapa	clap (v.)
tlelapa	slap (v.)
tlelarinete, ditlelarinete	clarinet (<Eng)
tlelase, ditlelase	class (<Eng)
tlelatjhe, ditlelatje	clutch (<Eng)
tlelereke, ditlelereke	clerk (<Eng)
tleliniki, ditleliniki	clinic (<Eng)
tleloko, ditleloko	clock (<Eng)
