Sesotho	English
Bo tsholwa bo tjhesa, bo tsohe bo fodile (maele)	Tempers cool down with time (proverb)
boahlamo	opening
bobare	hearsay
bobare	rumour
bobe	ugliness
bobebe	light
bobedi	both
bobedi	double
bobedi	pair
bobedi	second
bobola	groan (v.)
bobola	hum (v.)
bobona	their nature
bobona	themselves
bobopi	pottery
bobotheha	smile (v.)
bodara, dibodara	border (<Eng)
bodara e tehileng	solid border
bodila	acid
bodila	sour
bodileng	rotten
bodulo, madulo	abode
bodulo, madulo	accommodation
bodulo, madulo	dwelling
bodulo, madulo	location
bodulo, madulo	position
bodulo, madulo	residence
bodulo, madulo	seat
bodumedi	faith
bodutu	loneliness
boela	go back (v.)
boemabese	bus stop
boemadibese	bus rank
boemafofane	airport
boemakepe	harbour
boemakepe bo ommeng	dry dock
boematekesi	taxi rank
boemeladifofane	airport
boemo, maemo	condition
boemo, maemo	position
boemo, maemo	situation
boemo, maemo	standard
boemo, maemo	standing (n.)
boemo, maemo	status
boena	brotherhood
boenjineri	engineering
boetapele	leadership
bofa	bind (v.)
bofe ?	which ?
bofelo	final
boferefi	painting
boferekanyi	terrorism
bofifi	bereavement
bofofu	blindness
bofokotodi	weakness
bofutsana	poverty
boha	admire (v.)
boha	adore (v.)
bohale	acute
bohale	anger
bohale	bravery
bohale	courage
bohale	fierce
bohale	sharpness
bohare	center
bohare	interior
bohare	middle
bohareng	in the center
bohareng	in the interior
bohareng	in the middle
bohato	footprint
bohato	pedal
bohato	sole
bohato ba mariki	brake pedal
bohato ba tlelatjhe	clutch pedal
bohla	belch
bohlale, mahlale	intelligence
bohlale, mahlale	science
bohlale, mahlale	wisdom
bohlanka	puberty (male)
bohlanka	bondage
bohlano	fifth
bohlanya	delirium
bohlanya	insanity
bohlanya	mental disease
bohlaswa	careless
bohlaswa	negligent
bohlaswa	untidy
bohle	all (quantitative pronoun)
bohle	all (quantitative pronoun)
bohle ka ntle ho	all except
boholoholo; tlwaelo	traditional
bohloki	need
Bethlehem	Bethlehem
bohloko, mahloko	ache
bohloko, mahloko	disease
bohloko, mahloko	grief
bohloko, mahloko	pain
bohloko, mahloko	sore
bohloko, mahloko	sorrow
bohloko ba mpa	stomach ache
bohloko ba tsebe	ear ache
bohloko bo diqebo	chronic disease
Bohlokong	Bethlehem
Bohlokwa  (lebitso)	Precious (female name)
bohlokwa	essential
bohlokwa	important
bohlokwa	precious
bohlokwa	useful
bohlokwa	valuable
bohlwa, mahlwa	ant
bohlweki	personal hygiene
bohobe, mahobe	bread
bohodimo	top
bohoho, mahoho	crust
